lyric,class
"d***, that a** bustin' out the bottom",0
"He's only here for one thing, but (Let's go, so am I)",1
"(Taste, taste), do you love the taste?",0
"Cross a line, it's too late, you can't take it back, back, back (Yeah)",0
We just wanna win and shock them all and catch 'em by surprise,0
"He said ""be true,"" I swear I'll try",0
I don't be trusting these tricks 'cause they tricky,0
And I'll have to get over you all over again,1
Tell your friends that you're so happy,1
"ILoveMakonnen, Flippin All Night",1
That you thought you ever had it,0
She f***ing with bosses and s*** (on God),0
I can tell you how to die or how to live in this b****,0
"Turn it up, I'ma sit in the car, b**** (Turn me up)",0
Broke n**** never paid five hunnid for some cod,0
"Ask how many nights I've been thinking of you, zero, zero",1
Are you serious?,0
"Yeezy, Yeezy trollin' OD, huh",0
"Saucin', saucin', I'm saucin' on you",1
"Ho, you know I'm a motherf***ing star, b**** (Bling)",0
"Go like Harden with rockets, we blast off",0
We keep the team on high (Huh),0
I don't know what it is but I got that feeling,1
"I've had too many nights to mention, that's just the beginnin'",0
Bunch of hollows spittin' out the Glock,0
I'll be there to catch you if you fall,1
I hope she comes along and wrecks every one of your plans,1
I'ma wash away my sins,0
"Baby, baby, baby, baby, baby",0
"Don't mind us, yeah",1
"Didn't your mama tell you when something on fire, stop, drop and roll? (Aw yeah)",0
I want you to ruin my life,1
And I promise I can thumb with a blindfold,0
They kicked me out the plane off a Percocet (Brr),0
"No, I don't wanna sit still, look pretty",1
"The diamonds are yellow today, you gotta catch up, yeah (You gotta catch up, yeah)",0
"If I knew it all then, would I do it again?",1
Please don't hit my phone if it ain't 'bout no commas,0
Maybe I'll never change,1
"Really, I just can't afford to lose nobody else, yeah",0
Opening and closing up again,1
"I try to forget about you, baby",1
I hope you never ever felt more free,1
Money tend to show all they tendencies (d***),0
"Would you please have mercy, mercy on my heart?",1
"I stay busy with my business, homie",0
"Came from the bottom, toes (Woah, Kenny)",0
You know that I won't stop until I make you mine,1
"I inspired the Hopsins, the Logics, the Coles, the",0
'Cause I can't see you,1
Say I'm trippin' and it ain't right,1
"Shut your mouth, and if you don't know",1
They keep tryna get me for my soul (For my soul),0
I've got these feelings for you,1
She said she miss it and sendin' emojis,0
"Girl, girl, what about me? Yeah (Girl, what about me?)",0
"My skin black like mamba (Yeah, yeah, yeah, yeah, yeah)",0
He ain't keepin' his hands up off my asscheeks,0
"I cannot beef 'bout a b****, yeah, yeah",0
Hills burn in California,1
"n****, f*** my ex, I'm uninvolved",0
"Ain't no f***ing diamonds in my mouth, n****, these gold fronts",0
"(Oh, oh, oh, oh)",1
"I thought of this s***, they thought it was it",0
"Uuh, and no one's gotta know, we can keep it lowkey",1
"b****, what's happening? (Ah, what's up?)",0
"And she tellin' all her friends, I might put 'em on the Gram (Uh, yeah, Dexter)",0
